Lat,Lon,CDD,HDD
40.830925,-73.923276,1199.753662,4563.494629
40.664095,-73.981903,1272.350342,4478.152832
40.854073,-73.900640,1088.174927,4749.377930
40.602330,-74.009569,1274.330444,4446.107910
40.647739,-73.890661,1213.813477,4511.538574
40.858608,-73.931149,1112.312378,4719.492188
40.720238,-73.956457,1310.610718,4415.648926
40.752649,-73.980033,1253.947266,4468.735352
40.722786,-73.923583,1310.610718,4415.648926
40.862032,-73.924623,1112.312378,4719.492188
40.740763,-73.998479,1299.786743,4421.714355
40.778411,-73.781048,1083.640869,4665.822266
40.613411,-73.969076,1271.081543,4461.968262
40.782151,-73.981435,1253.947266,4468.735352
40.821584,-73.911613,1172.638306,4597.096191
40.777187,-73.987270,1253.947266,4468.735352
40.625585,-73.980556,1272.350342,4478.152832
40.741763,-73.902966,1271.055298,4461.206543
40.759492,-73.822907,1127.208496,4611.164062
40.656254,-74.007949,1244.426758,4484.958008
40.708374,-74.005634,1241.051514,4502.415527
40.640047,-74.094936,1215.784912,4546.220215
40.742192,-73.978101,1299.786743,4421.714355
40.854804,-73.931855,1112.312378,4719.492188
40.752136,-73.990681,1253.947266,4468.735352
40.757772,-73.987625,1253.947266,4468.735352
40.767032,-73.824393,1127.208496,4611.164062
40.853475,-73.936051,1112.312378,4719.492188
40.659657,-73.962245,1272.350342,4478.152832
40.766392,-73.968938,1253.947266,4468.735352
40.616823,-74.036191,1274.330444,4446.107910
40.758964,-73.967589,1253.947266,4468.735352
40.751461,-73.988687,1253.947266,4468.735352
40.752302,-73.983412,1253.947266,4468.735352
40.747140,-73.983061,1299.786743,4421.714355
40.696585,-73.984393,1294.508667,4433.241699
40.717614,-73.841543,1207.817017,4525.531250
40.751638,-73.975374,1253.947266,4468.735352
40.670616,-73.861774,1188.888062,4530.321289
40.587490,-73.955834,1247.323730,4469.472168
40.741078,-73.995196,1299.786743,4421.714355
40.752310,-73.916368,1232.920654,4501.563477
40.758526,-73.964068,1253.947266,4468.735352
40.879753,-73.881585,1019.952881,4891.804688
40.688957,-73.984967,1294.508667,4433.241699
40.761781,-73.999647,1253.947266,4468.735352
40.644637,-73.982477,1272.350342,4478.152832
40.756673,-73.926706,1271.116577,4458.273926
40.787787,-73.967907,1253.947266,4468.735352
40.746076,-73.980505,1299.786743,4421.714355
40.836010,-73.917852,1112.312378,4719.492188
40.843991,-73.938566,1112.312378,4719.492188
40.796312,-73.971088,1173.158813,4598.009766
40.832169,-73.941756,1199.753662,4563.494629
40.660915,-73.992244,1272.350342,4478.152832
40.757877,-73.988679,1253.947266,4468.735352
40.716751,-73.832101,1145.681641,4583.785156
